نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد
خودرو,ايران‌ خودرو,24689,3700670046,2233700000000.0,588,591,605,17.00,2.89,604,16.00,2.72,587,605,-85.0,-7.11,36,10310222,605,0,0,0
اخابر,مخابرات ايران,7969,1315904887,682945000000.0,505,520,520,15.00,2.97,519,14.00,2.77,510,520,54.0,9.61,52,15077602,520,0,0,0
فولاد,فولاد مباركه اصفهان,7893,817209723,2852360000000.0,3395,3411,3496,101.00,2.97,3490,95.00,2.80,3411,3496,503.0,6.94,1187,288527928,3496,0,0,0
شتران,پالايش نفت تهران,9755,463011592,1567210000000.0,3396,3351,3405,9.00,0.27,3385,-11.00,-0.32,3300,3429,710.0,4.77,1,31131,3402,3405,274725,1
خاور,ايران خودرو ديزل,2801,390337080,433407000000.0,1081,1089,1112,31.00,2.87,1110,29.00,2.68,1075,1113,33.0,33.64,1,121538,1109,1112,5924000,9
شبندر,پالايش نفت بندرعباس,8852,341163107,1846180000000.0,5309,5360,5468,159.00,2.99,5411,102.00,1.92,5161,5468,1183.0,4.57,86,24712594,5468,0,0,0
فملي,ملي‌ صنايع‌ مس‌ ايران‌,14019,257350241,2724170000000.0,10670,10550,10600,-70.00,-0.66,10590,-80.00,-0.75,10350,10790,813.0,13.03,20,756975,10590,10600,39000,1
فخوز,فولاد  خوزستان,730,79893692,140213000000.0,1704,1755,1755,51.00,2.99,1755,51.00,2.99,1755,1755,202.0,8.69,354,107164402,1755,0,0,0
فطلوع,طلوع فولاد پارس,1202,66738928,136708000000.0,2010,2070,2022,12.00,0.60,2048,38.00,1.89,2020,2070,30.0,68.27,1,176445,2022,2028,406454,3
حفارس,حمل و نقل بين المللي خليج فارس,600,52997195,124500000000.0,2286,2243,2354,68.00,2.97,2349,63.00,2.76,2243,2354,77.0,30.51,9,2609898,2354,2404,17505,4
كاوه,فولاد كاوه جنوب كيش,482,44936912,190989000000.0,4132,4170,4255,123.00,2.98,4250,118.00,2.86,4139,4255,799.0,5.32,86,22620471,4255,0,0,0
فسرب,ملي‌ سرب‌وروي‌ ايران‌,755,38603794,55652762362.0,1421,1460,1441,20.00,1.41,1442,21.00,1.48,1392,1460,-59.0,-24.44,1,20000,1441,1442,400000,1
حگهر,حمل و نقل گهرترابر سيرجان,450,24068891,88272152215.0,3592,3642,3690,98.00,2.73,3667,75.00,2.09,3592,3699,418.0,8.77,2,20000,3682,3699,255378,2
